,channel,band,term,estimate,p_value
0,ACA_R,$\delta$,Intercept,0.1113094096449858,9.738783072621658e-72
1,ACA_R,$\delta$,genotype[T.Ntg],-0.009115747972588985,0.29964897481919006
2,ACA_R,$\delta$,event_kind[T.without mouse cup],0.0009528822491434201,0.7582107975696717
3,ACA_R,$\delta$,sex[T.m],-0.03033008555843915,0.0005586254270898013
4,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup],-0.003145977294526486,0.472360145655783
5,ACA_R,$\delta$,genotype[T.Ntg]:sex[T.m],0.027373313736422333,0.027643973661194584
6,ACA_R,$\delta$,event_kind[T.without mouse cup]:sex[T.m],0.003133978527905424,0.4740510408514359
7,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-0.0033892229246664054,0.5840704396592962
8,ACA_R,$\delta$,Group Var,7.061533921800348,0.0019526807852415869
9,ACA_R,$\theta$,Intercept,0.049760630563205586,1.0526672107877465e-212
10,ACA_R,$\theta$,genotype[T.Ntg],0.002335583344056751,0.30157550496895613
11,ACA_R,$\theta$,event_kind[T.without mouse cup],-0.002266270706265464,0.22258472057131107
12,ACA_R,$\theta$,sex[T.m],0.0017411959673125797,0.4412079814265124
13,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0005842320820596085,0.8240538723811619
14,ACA_R,$\theta$,genotype[T.Ntg]:sex[T.m],-0.004727484837403204,0.13925189136229885
15,ACA_R,$\theta$,event_kind[T.without mouse cup]:sex[T.m],0.0017262047364606083,0.5112320326290625
16,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0025791102385309193,0.4876662230257399
17,ACA_R,$\theta$,Group Var,0.48050576751157714,0.10409717591151696
18,ACA_R,$\alpha$,Intercept,0.022104834844717182,3.3821021036773854e-38
19,ACA_R,$\alpha$,genotype[T.Ntg],0.001919816533762707,0.42744353544828706
20,ACA_R,$\alpha$,event_kind[T.without mouse cup],-0.00020200355719662773,0.8642633251396262
21,ACA_R,$\alpha$,sex[T.m],0.007474650358352055,0.0020034813314148943
22,ACA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0003434629399096715,0.8371584455549961
23,ACA_R,$\alpha$,genotype[T.Ntg]:sex[T.m],-0.00615032768107121,0.07222870706794964
24,ACA_R,$\alpha$,event_kind[T.without mouse cup]:sex[T.m],-0.0022066163076870774,0.18668566774825823
25,ACA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.002028844729615455,0.39062972523209505
26,ACA_R,$\alpha$,Group Var,3.1914405271288677,0.004138560770682825
27,ACA_R,$\beta$,Intercept,0.0043884171390052434,2.6613965344202776e-15
28,ACA_R,$\beta$,genotype[T.Ntg],0.0006677168622819543,0.39500039377928653
29,ACA_R,$\beta$,event_kind[T.without mouse cup],0.00042663528162477225,0.10739861266738836
30,ACA_R,$\beta$,sex[T.m],0.002337240054492807,0.0029076244928392743
31,ACA_R,$\beta$,genotype[T.Ntg]:event_kind[T.without mouse cup],-0.00010760240904036938,0.7740145034932018
32,ACA_R,$\beta$,genotype[T.Ntg]:sex[T.m],-0.001827345367306249,0.09976317165950671
33,ACA_R,$\beta$,event_kind[T.without mouse cup]:sex[T.m],-0.0004887859873005694,0.1921370181246862
34,ACA_R,$\beta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.00030965156348942453,0.5590406021781515
35,ACA_R,$\beta$,Group Var,7.775794760847459,0.0018314508157788192
36,ACA_R,$\gamma$,Intercept,0.0009398328775873167,1.0817484471684463e-05
37,ACA_R,$\gamma$,genotype[T.Ntg],0.00025256919697846166,0.4030723819811435
38,ACA_R,$\gamma$,event_kind[T.without mouse cup],-0.00010854519530594157,0.2710080566608549
39,ACA_R,$\gamma$,sex[T.m],0.0010775511290017745,0.00036067455746612953
40,ACA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0002644967752637142,0.057877641322328845
41,ACA_R,$\gamma$,genotype[T.Ntg]:sex[T.m],-0.0009562727674529559,0.025184510636649518
42,ACA_R,$\gamma$,event_kind[T.without mouse cup]:sex[T.m],2.260232004296571e-06,0.9870689192481598
43,ACA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-8.113816423783822e-05,0.6807746371729553
44,ACA_R,$\gamma$,Group Var,8.383121032828823,0.0017479907253419229
45,PCA_R,$\delta$,Intercept,0.10142088828967241,1.4923298518323324e-45
46,PCA_R,$\delta$,genotype[T.Ntg],-0.01133135918063964,0.26308568115039066
47,PCA_R,$\delta$,event_kind[T.without mouse cup],0.001249824412111254,0.69014245951327
48,PCA_R,$\delta$,sex[T.m],-0.035780430193151996,0.0004096155950201856
49,PCA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup],-0.004062781877268344,0.3594803817140735
50,PCA_R,$\delta$,genotype[T.Ntg]:sex[T.m],0.034895924473511995,0.014809264541096769
51,PCA_R,$\delta$,event_kind[T.without mouse cup]:sex[T.m],0.004551239328359685,0.3046434011426644
52,PCA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-0.005214214959914957,0.40563474644477804
53,PCA_R,$\delta$,Group Var,9.430758043391219,0.001633932505560719
54,PCA_R,$\theta$,Intercept,0.05037224703981674,1.993561102858577e-183
55,PCA_R,$\theta$,genotype[T.Ntg],0.002215667398846691,0.3690165264906857
56,PCA_R,$\theta$,event_kind[T.without mouse cup],-0.0021965023131098205,0.2505144618601932
57,PCA_R,$\theta$,sex[T.m],-0.0014635682282534018,0.5529221525492543
58,PCA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0016672609351489269,0.5373941640807497
59,PCA_R,$\theta$,genotype[T.Ntg]:sex[T.m],-0.0035132229969102075,0.3138385683005047
60,PCA_R,$\theta$,event_kind[T.without mouse cup]:sex[T.m],0.002679214954313143,0.321635073874455
61,PCA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0011764448544610822,0.7582887798132778
62,PCA_R,$\theta$,Group Var,0.6649556156656478,0.05834106201866944
63,PCA_R,$\alpha$,Intercept,0.026381031577964082,4.64963349074878e-32
64,PCA_R,$\alpha$,genotype[T.Ntg],0.0029353196454095843,0.3538066257219824
65,PCA_R,$\alpha$,event_kind[T.without mouse cup],-0.00024072071501631787,0.8397245421500847
66,PCA_R,$\alpha$,sex[T.m],0.011149814098638638,0.00042816262072642057
67,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.000950428310865517,0.5723196715671013
68,PCA_R,$\alpha$,genotype[T.Ntg]:sex[T.m],-0.011380333304390367,0.011022577397090878
69,PCA_R,$\alpha$,event_kind[T.without mouse cup]:sex[T.m],-0.002847955593183922,0.09065787504445948
70,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0030647651756174257,0.19793443059164284
71,PCA_R,$\alpha$,Group Var,6.074034738420593,0.0021812224311559382
72,PCA_R,$\beta$,Intercept,0.0050021318183482875,9.33515003927684e-18
73,PCA_R,$\beta$,genotype[T.Ntg],0.0009580430488035615,0.24513746551734816
74,PCA_R,$\beta$,event_kind[T.without mouse cup],0.0004386226042412658,0.1286155089915579
75,PCA_R,$\beta$,sex[T.m],0.002535460421442128,0.002098886529109237
76,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.without mouse cup],-0.00020815441018349025,0.6101055882719395
77,PCA_R,$\beta$,genotype[T.Ntg]:sex[T.m],-0.002151743962292686,0.06491987333714251
78,PCA_R,$\beta$,event_kind[T.without mouse cup]:sex[T.m],-0.0007172311947180553,0.078913551984126
79,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0005424249152702508,0.3474223444908684
80,PCA_R,$\beta$,Group Var,7.155394442077368,0.0019350266352976522
81,PCA_R,$\gamma$,Intercept,0.0011522882117903828,3.076863094672742e-05
82,PCA_R,$\gamma$,genotype[T.Ntg],0.0002932996289317907,0.4531811120314537
83,PCA_R,$\gamma$,event_kind[T.without mouse cup],-0.0001297481178902301,0.20083651638781053
84,PCA_R,$\gamma$,sex[T.m],0.0012595497640275593,0.0012759509746535851
85,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0002655109095846513,0.06417641473175147
86,PCA_R,$\gamma$,genotype[T.Ntg]:sex[T.m],-0.0010463180770820825,0.05846306409386184
87,PCA_R,$\gamma$,event_kind[T.without mouse cup]:sex[T.m],-3.208515930601764e-05,0.8230103557695143
88,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-4.5203464168595074e-05,0.8236694484223251
89,PCA_R,$\gamma$,Group Var,13.859859558415247,0.001368794857825195
